0,File-bytes,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation,,,Expected Occurrence,ExpFrac
1,34359738368,8,4209.24199,127.493112,3.141672,4.75E-06,0.881190037,,134217728,0.00390625
2,Value,Occurrences,Fraction,Bias,Rel_Bias,NumSTDev,RMSE,Population Stdev,,
3,0,134381933,0.003911029,4.77899E-06,164205,3.49542084,26963282025,46977.17599,,
3,1,134326227,0.003909408,3.15774E-06,108499,2.309610948,11772033001,,,
3,2,134290107,0.003908357,2.10651E-06,72379,1.540726927,5238719641,Biases Abv STDev,,
3,3,134329428,0.003909501,3.2509E-06,111700,2.377750421,12476890000,78,30.47%,
3,4,134309962,0.003908934,2.68436E-06,92234,1.963378982,8507110756,Biases Abv 2STDev,,
3,5,134262225,0.003907545,1.29503E-06,44497,0.94720466,1979983009,12,4.69%,
3,6,134294889,0.003908496,2.24568E-06,77161,1.642521041,5953819921,,,
3,7,134315335,0.003909091,2.84074E-06,97607,2.077753674,9527126449,,,
3,8,134309305,0.003908915,2.66524E-06,91577,1.949393467,8386346929,,,
3,9,134242577,0.003906973,7.23201E-07,24849,0.528958999,617472801,,,
3,10,134234745,0.003906745,4.9526E-07,17017,0.36223974,289578289,,,
3,11,134232303,0.003906674,4.24188E-07,14575,0.310257049,212430625,,,
3,12,134301144,0.003908678,2.42773E-06,83416,1.775670807,6958229056,,,
3,13,134260287,0.003907489,1.23863E-06,42559,0.905950583,1811268481,,,
3,14,134269303,0.003907751,1.50103E-06,51575,1.097873572,2659980625,,,
3,15,134284253,0.003908186,1.93613E-06,66525,1.416113221,4425575625,,,
3,16,134317602,0.003909157,2.90672E-06,99874,2.126011151,9974815876,,,
3,17,134286954,0.003908265,2.01474E-06,69226,1.473609227,4792239076,,,
3,18,134236917,0.003906808,5.58473E-07,19189,0.408474958,368217721,,,
3,19,134243200,0.003906991,7.41333E-07,25472,0.542220758,648822784,,,
3,20,134225660,0.003906481,2.30852E-07,7932,0.168847953,62916624,,,
3,21,134174544,0.003904993,-1.25682E-06,-43184,-0.919254917,1864857856,,,
3,22,134234105,0.003906727,4.76633E-07,16377,0.348616102,268206129,,,
3,23,134229486,0.003906592,3.42203E-07,11758,0.250291759,138250564,,,
3,24,134299752,0.003908637,2.38721E-06,82024,1.746039396,6727936576,,,
3,25,134257881,0.003907419,1.16861E-06,40153,0.854734223,1612263409,,,
3,26,134215652,0.00390619,-6.04196E-08,-2076,-0.044191673,4309776,,,
3,27,134221879,0.003906371,1.2081E-07,4151,0.088362059,17230801,,,
3,28,134288224,0.003908302,2.0517E-06,70496,1.500643632,4969686016,,,
3,29,134222371,0.003906385,1.35129E-07,4643,0.09883523,21557449,,,
3,30,134262399,0.00390755,1.3001E-06,44671,0.950908586,1995498241,,,
3,31,134284809,0.003908202,1.95231E-06,67081,1.427948756,4499860561,,,
3,32,134309213,0.003908913,2.66256E-06,91485,1.94743507,8369505225,,,
3,33,134263054,0.003907569,1.31916E-06,45326,0.964851527,2054446276,,,
3,34,134247286,0.00390711,8.60251E-07,29558,0.629199167,873675364,,,
3,35,134260909,0.003907507,1.25673E-06,43181,0.919191056,1864598761,,,
3,36,134237226,0.003906817,5.67466E-07,19498,0.41505262,380172004,,,
3,37,134181696,0.003905201,-1.04867E-06,-36032,-0.767010771,1298305024,,,
3,38,134236082,0.003906784,5.34172E-07,18354,0.390700369,336869316,,,
3,39,134237817,0.003906835,5.84667E-07,20089,0.427633198,403567921,,,
3,40,134242785,0.003906979,7.29255E-07,25057,0.533386681,627853249,,,
3,41,134168912,0.003904829,-1.42073E-06,-48816,-1.039142923,2383001856,,,
3,42,134149511,0.003904265,-1.98538E-06,-68217,-1.452130711,4653559089,,,
3,43,134167642,0.003904792,-1.45769E-06,-50086,-1.066177328,2508607396,,,
3,44,134218477,0.003906272,2.17988E-08,749,0.015943913,561001,,,
3,45,134157852,0.003904507,-1.74262E-06,-59876,-1.274576403,3585135376,,,
3,46,134199432,0.003905718,-5.32484E-07,-18296,-0.389465727,334743616,,,
3,47,134218203,0.003906264,1.38243E-08,475,0.010111293,225625,,,
3,48,134315054,0.003909083,2.83256E-06,97326,2.071772045,9472350276,,,
3,49,134250323,0.003907199,9.48639E-07,32595,0.693847583,1062434025,,,
3,50,134204403,0.003905862,-3.87809E-07,-13325,-0.283648383,177555625,,,
3,51,134237197,0.003906817,5.66622E-07,19469,0.414435299,379041961,,,
3,52,134206079,0.003905911,-3.39031E-07,-11649,-0.247971483,135699201,,,
3,53,134174390,0.003904989,-1.2613E-06,-43338,-0.922533104,1878182244,,,
3,54,134205324,0.003905889,-3.61004E-07,-12404,-0.264043117,153859216,,,
3,55,134214795,0.003906165,-8.53615E-08,-2933,-0.062434575,8602489,,,
3,56,134275068,0.003907919,1.66881E-06,57340,1.220592741,3287875600,,,
3,57,134229880,0.003906604,3.5367E-07,12152,0.25867881,147671104,,,
3,58,134188698,0.003905405,-8.44884E-07,-29030,-0.617959666,842740900,,,
3,59,134219669,0.003906306,5.64905E-08,1941,0.041317937,3767481,,,
3,60,134284270,0.003908187,1.93663E-06,66542,1.416475099,4427837764,,,
3,61,134206070,0.003905911,-3.39292E-07,-11658,-0.248163065,135908964,,,
3,62,134252118,0.003907251,1.00088E-06,34390,0.732057627,1182672100,,,
3,63,134240949,0.003906926,6.7582E-07,23221,0.494303872,539214841,,,
3,64,134298761,0.003908608,2.35837E-06,81033,1.724944045,6566347089,,,
3,65,134239977,0.003906898,6.47531E-07,22249,0.473612973,495018001,,,
3,66,134256722,0.003907385,1.13487E-06,38994,0.830062667,1520532036,,,
3,67,134235071,0.003906755,5.04748E-07,17343,0.36917928,300779649,,,
3,68,134220867,0.003906341,9.13569E-08,3139,0.066819683,9853321,,,
3,69,134175800,0.00390503,-1.22027E-06,-41928,-0.892518529,1757957184,,,
3,70,134207661,0.003905957,-2.92988E-07,-10067,-0.214295555,101344489,,,
3,71,134225284,0.00390647,2.19909E-07,7556,0.160844066,57093136,,,
3,72,134238031,0.003906841,5.90895E-07,20303,0.432188602,412211809,,,
3,73,134188248,0.003905392,-8.57981E-07,-29480,-0.627538786,869070400,,,
3,74,134156173,0.003904459,-1.79149E-06,-61555,-1.310317164,3789018025,,,
3,75,134182124,0.003905214,-1.03621E-06,-35604,-0.757899964,1267644816,,,
3,76,134233954,0.003906722,4.72239E-07,16226,0.345401776,263283076,,,
3,77,134178985,0.003905122,-1.12757E-06,-38743,-0.824719647,1501020049,,,
3,78,134196170,0.003905623,-6.2742E-07,-21558,-0.458903703,464747364,,,
3,79,134231368,0.003906647,3.96976E-07,13640,0.290353767,186049600,,,
3,80,134230651,0.003906626,3.76109E-07,12923,0.275091036,167003929,,,
3,81,134190329,0.003905453,-7.97416E-07,-27399,-0.583240678,750705201,,,
3,82,134153019,0.003904367,-1.88328E-06,-64709,-1.37745615,4187254681,,,
3,83,134143400,0.003904087,-2.16323E-06,-74328,-1.582215159,5524651584,,,
3,84,134146546,0.003904178,-2.07167E-06,-71182,-1.515246468,5066877124,,,
3,85,134116225,0.003903296,-2.95413E-06,-101503,-2.160687565,10302859009,,,
3,86,134129593,0.003903685,-2.56507E-06,-88135,-1.876123844,7767778225,,,
3,87,134145099,0.003904136,-2.11378E-06,-72629,-1.54604866,5274971641,,,
3,88,134219782,0.00390631,5.97793E-08,2054,0.04372336,4218916,,,
3,89,134190842,0.003905468,-7.82486E-07,-26886,-0.572320482,722856996,,,
3,90,134138231,0.003903936,-2.31367E-06,-79497,-1.692247316,6319773009,,,
3,91,134171024,0.003904891,-1.35927E-06,-46704,-0.994184921,2181263616,,,
3,92,134216286,0.003906208,-4.19677E-08,-1442,-0.030695757,2079364,,,
3,93,134145763,0.003904156,-2.09446E-06,-71965,-1.531914137,5178961225,,,
3,94,134163965,0.003904685,-1.56471E-06,-53763,-1.144449381,2890460169,,,
3,95,134199089,0.003905708,-5.42466E-07,-18639,-0.396767145,347412321,,,
3,96,134297515,0.003908572,2.32211E-06,79787,1.698420527,6365965369,,,
3,97,134259629,0.003907469,1.21948E-06,41901,0.891943781,1755693801,,,
3,98,134222565,0.003906391,1.40775E-07,4837,0.102964895,23396569,,,
3,99,134229589,0.003906595,3.45201E-07,11861,0.252484313,140683321,,,
3,100,134212539,0.003906099,-1.5102E-07,-5189,-0.110457896,26925721,,,
3,101,134169300,0.003904841,-1.40944E-06,-48428,-1.030883593,2345271184,,,
3,102,134189705,0.003905434,-8.15577E-07,-28023,-0.596523725,785288529,,,
3,103,134226785,0.003906514,2.63593E-07,9057,0.192795753,82029249,,,
3,104,134233641,0.003906713,4.63129E-07,15913,0.338738966,253223569,,,
3,105,134184737,0.00390529,-9.60164E-07,-32991,-0.702277208,1088406081,,,
3,106,134121461,0.003903448,-2.80174E-06,-96267,-2.049229183,9267335289,,,
3,107,134156500,0.003904468,-1.78197E-06,-61228,-1.303356336,3748867984,,,
3,108,134185822,0.003905321,-9.28587E-07,-31906,-0.679180886,1017992836,,,
3,109,134169007,0.003904832,-1.41797E-06,-48721,-1.037120665,2373735841,,,
