File (Raw)	Size (Bytes)	Size (bits)	X2	X2 (bits)	Serial Correlation	Serial Correlation (bits)	HTCC	P value	HTCC (bits)	P value (bits)
USB	2100000000	16800000000	436.951434	46.036171	3.20E-05	8.89E-05	1.464460426	>0.9 <0.95	11.51916149	>0.999
USB2	2100000000	16800000000	426.650719	61.399065	5.03E-06	8.98E-05	0.230356118	<0.9	11.6345236	>0.999
USB3	2100000000	16800000000	472.574875	70.272233	6.25E-05	9.07E-05	2.864371454	>0.995 <0.999	11.75956431	>0.999
USB4	2100000000	16800000000	410.013476	36.270021	2.39E-07	8.43E-05	0.010958545	<0.9	10.92430483	>0.999
USB5	2100000000	16800000000	430.131173	26.228002	5.81E-06	9.39E-05	0.266439067	<0.9	12.1648578	>0.999
USB6	2100000000	16800000000	476.548576	44.563774	-3.77E-05	9.24E-05	1.727397874	>0.95 <0.975	11.97208405	>0.999
USB7	2100000000	16800000000	443.388447	46.294081	5.91E-06	8.07E-05	0.270986038	<0.9	10.45403432	>0.999
USB8	2100000000	16800000000	500.095745	36.516327	3.85E-06	9.61E-05	0.176369641	<0.9	12.45159751	>0.999
USB9	2100000000	16800000000	453.513483	54.360444	1.76E-05	8.59E-05	0.806137139	<0.9	11.13580775	>0.999
USB10	2100000000	16800000000	414.893569	20.5772	1.59E-05	8.75E-05	0.72724485	<0.9	11.346569	>0.999
USB11	2100000000	16800000000	476.280228	37.68492	-4.54E-06	9.73E-05	0.207828094	<0.9	12.61123074	>0.999
USB12	2100000000	16800000000	431.478704	42.028205	-4.64E-05	8.59E-05	2.125682795	>0.975 <0.99	11.13411296	>0.999
USB13	2100000000	16800000000	489.556138	40.943923	-1.60E-05	9.70E-05	0.731120809	<0.9	12.57077812	>0.999
USB14	2100000000	16800000000	519.56235	49.707021	1.55E-05	9.89E-05	0.709851536	<0.9	12.82012646	>0.999
USB15	2100000000	16800000000	455.857339	57.686543	3.18E-05	8.81E-05	1.455555416	>0.9 <0.95	11.41291091	>0.999
USB16	2100000000	16800000000	440.979567	48.25115	-1.38E-05	8.28E-05	0.632191614	<0.9	10.73398723	>0.999
USB17	2100000000	16800000000	443.512417	20.407184	6.59E-06	9.91E-05	0.302215889	<0.9	12.84766418	>0.999
USB18	2100000000	16800000000	484.899298	32.463229	-1.08E-05	9.88E-05	0.497071087	<0.9	12.80896448	>0.999
USB19	2100000000	16800000000	494.050187	45.49878	-2.48E-06	9.92E-05	0.113622687	<0.9	12.85765464	>0.999
USB20	2100000000	16800000000	481.530749	39.392188	-2.58E-05	9.37E-05	1.180679046	<0.9	12.1466719	>0.999
USB21	2100000000	16800000000	433.843307	53.580995	-1.84E-08	9.68E-05	0.000842795	<0.9	12.55065206	>0.999
USB22	2100000000	16800000000	389.533159	33.124531	-1.31E-05	8.47E-05	0.60120791	<0.9	10.97213227	>0.999
USB23	2100000000	16800000000	503.900974	53.364128	-1.95E-06	9.73E-05	0.089255928	<0.9	12.60746823	>0.999
USB24	2100000000	16800000000	443.56563	47.04207	-3.17E-05	0.000101318	1.450800803	>0.9 <0.95	13.13227184	>0.999
USB25	2100000000	16800000000	458.694002	52.375463	-1.03E-05	8.43E-05	0.472839943	<0.9	10.92482866	>0.999
USB26	2100000000	16800000000	460.171605	36.318918	3.01E-05	8.94E-05	1.380404807	>0.9 <0.95	11.58709907	>0.999
USB27	2100000000	16800000000	517.200593	39.285923	-3.66E-05	9.72E-05	1.675841355	>0.95 <0.975	12.59513998	>0.999
USB28	2100000000	16800000000	509.982415	30.22459	2.33E-05	0.000107004	1.065731289	<0.9	13.86932353	>0.999
USB29	2100000000	16800000000	423.609375	46.225234	-2.54E-05	8.33E-05	1.164433814	<0.9	10.79087907	>0.999
USB30	2100000000	16800000000	491.660839	74.840902	3.71E-06	9.18E-05	0.170037919	<0.9	11.89679733	>0.999
USB31	2100000000	16800000000	441.575123	50.424991	-2.21E-05	8.71E-05	1.013712652	<0.9	11.28958597	>0.999
USB32	2100000000	16800000000	527.373175	31.47893	-1.19E-05	0.000104126	0.547148038	<0.9	13.4962392	>0.999
USB33	2100000000	16800000000	470.520024	60.647155	-2.93E-05	9.46E-05	1.344722138	>0.9 <0.95	12.25680396	>0.999
USB34	2100000000	16800000000	487.453513	43.113686	1.94E-05	9.36E-05	0.888623523	<0.9	12.13565679	>0.999
USB35	2100000000	16800000000	441.093799	37.280404	-1.03E-06	9.53E-05	0.047395604	<0.9	12.34740599	>0.999
USB36	2100000000	16800000000	492.629641	52.612025	1.92E-06	9.04E-05	0.087974826	<0.9	11.71627959	>0.999
USB37	2100000000	16800000000	515.28204	44.839847	-4.97E-06	9.37E-05	0.227981016	<0.9	12.15119725	>0.999
USB38	2100000000	16800000000	461.296939	49.020989	9.24E-07	9.90E-05	0.042332589	<0.9	12.83466713	>0.999
USB39	2100000000	16800000000	484.473403	71.232684	2.25E-05	0.000104672	1.033151906	<0.9	13.56700465	>0.999
USB40	2100000000	16800000000	467.024535	27.106555	-4.45E-05	9.74E-05	2.03936567	>0.975 <0.99	12.62621805	>0.999
USB41	2100000000	16800000000	471.682271	57.037939	-2.45E-06	9.63E-05	0.112206484	<0.9	12.48803995	>0.999
USB42	2100000000	16800000000	455.792654	52.415002	1.06E-05	8.61E-05	0.487036635	<0.9	11.16248637	>0.999
USB43	2100000000	16800000000	395.522193	38.011284	6.80E-06	8.06E-05	0.311814715	<0.9	10.4492531	>0.999
USB44	2100000000	16800000000	397.368979	44.588499	3.05E-06	8.28E-05	0.139669555	<0.9	10.73515733	>0.999
USB45	2100000000	16800000000	434.751266	46.374746	1.54E-05	8.45E-05	0.704530334	<0.9	10.95153857	>0.999
USB46	2100000000	16800000000	457.972142	48.857129	4.57E-05	9.29E-05	2.096199327	>0.975 <0.99	12.04046903	>0.999
USB47	2100000000	16800000000	450.372448	62.59652	4.78E-05	7.74E-05	2.19062784	>0.975 <0.99	10.03753639	>0.999
USB48	2100000000	16800000000	517.952499	32.874567	1.03E-05	0.000100744	0.470309199	<0.9	13.05791433	>0.999
USB49	2100000000	16800000000	456.785393	53.440579	-1.65E-05	7.59E-05	0.754722131	<0.9	9.835747381	>0.999
USB50	2100000000	16800000000	447.088514	23.951168	7.13E-07	9.04E-05	0.032695888	<0.9	11.71270483	>0.999
USB51	2100000000	16800000000	502.376154	66.889029	5.07E-06	8.66E-05	0.232418729	<0.9	11.22363314	>0.999
USB52	2100000000	16800000000	528.057832	53.686541	2.41E-05	0.000110515	1.104095401	<0.9	14.32443001	>0.999
USB53	2100000000	16800000000	508.90869	66.459637	3.31E-05	9.66E-05	1.515498843	>0.9 <0.95	12.51555671	>0.999
USB54	2100000000	16800000000	493.548413	61.255993	2.94E-05	9.37E-05	1.34594493	>0.9 <0.95	12.13928183	>0.999
USB55	2100000000	16800000000	453.613629	49.556789	-3.46E-05	9.28E-05	1.587058724	>0.9 <0.95	12.03305708	>0.999
USB56	2100000000	16800000000	419.839443	52.330581	1.79E-05	8.73E-05	0.820233096	<0.9	11.32043194	>0.999
USB57	2100000000	16800000000	416.66601	27.400415	4.94E-05	9.56E-05	2.263738761	>0.975 <0.99	12.39155125	>0.999
USB58	2100000000	16800000000	470.717033	51.322174	9.10E-05	9.80E-05	4.171057729	>0.999	12.70450993	>0.999
USB59	2100000000	16800000000	483.87471	76.467799	1.57E-05	7.46E-05	0.718293497	<0.9	9.668088878	>0.999
USB60	2100000000	16800000000	529.138937	69.089814	7.56E-05	9.42E-05	3.465201851	>0.999	12.20671369	>0.999
USB61	2100000000	16800000000	465.327203	26.722471	-4.09E-06	9.06E-05	0.187451476	<0.9	11.74872871	>0.999
